job_id,title,company,location,experience,salary,skills,description
1018,Backend Developer,Shopify,Remote,2-4 years,19 LPA,"python, flask, fastapi, redis, docker, aws, django, postgresql","We are hiring a Backend Developer at Shopify (Remote). Experience: 2-4 years. Required skills: python, flask, fastapi, redis, docker, aws, django, postgresql. Responsibilities include designing, building and deploying production systems using python, flask, fastapi, redis. Strong problem solving, communication and ownership expected."
1019,Machine Learning Engineer,Apple,Chennai,0-1 years,44 LPA,"airflow, python, kubernetes, scikit-learn, aws, docker, mlops, pytorch, sagemaker","We are hiring a Machine Learning Engineer at Apple (Chennai). Experience: 0-1 years. Required skills: airflow, python, kubernetes, scikit-learn, aws, docker, mlops, pytorch, sagemaker. Responsibilities include designing, building and deploying production systems using airflow, python, kubernetes, scikit-learn. Strong problem solving, communication and ownership expected."
1020,NLP Engineer,Accenture,"New York, USA",1-3 years,$147K,"bert, spacy, nlp, huggingface, nltk, llm, python, transformers, rag, pytorch, aws, leadership, scrum","We are hiring a NLP Engineer at Accenture (New York, USA). Experience: 1-3 years. Required skills: bert, spacy, nlp, huggingface, nltk, llm, python, transformers, rag, pytorch, aws, leadership, scrum. Responsibilities include designing, building and deploying production systems using bert, spacy, nlp, huggingface. Strong problem solving, communication and ownership expected."
1021,Android Developer,AMD,Mumbai,0-1 years,40 LPA,"firebase, android, jetpack compose, java, kotlin, docker","We are hiring a Android Developer at AMD (Mumbai). Experience: 0-1 years. Required skills: firebase, android, jetpack compose, java, kotlin, docker. Responsibilities include designing, building and deploying production systems using firebase, android, jetpack compose, java. Strong problem solving, communication and ownership expected."
1022,Backend Developer,Snowflake,"San Francisco, USA",8+ years,$106K,"postgresql, flask, aws, python, django, docker, redis, rest api, fastapi, problem solving, git, leadership","We are hiring a Backend Developer at Snowflake (San Francisco, USA). Experience: 8+ years. Required skills: postgresql, flask, aws, python, django, docker, redis, rest api, fastapi, problem solving, git, leadership. Responsibilities include designing, building and deploying production systems using postgresql, flask, aws, python. Strong problem solving, communication and ownership expected."
1023,Data Engineer,Accenture,Gurgaon,5-8 years,37 LPA,"spark, etl, aws, pyspark, snowflake, hadoop, kafka, leadership","We are hiring a Data Engineer at Accenture (Gurgaon). Experience: 5-8 years. Required skills: spark, etl, aws, pyspark, snowflake, hadoop, kafka, leadership. Responsibilities include designing, building and deploying production systems using spark, etl, aws, pyspark. Strong problem solving, communication and ownership expected."
1024,Full Stack Developer,Stripe,Gurgaon,1-3 years,53 LPA,"react, docker, express, node.js, javascript, leadership","We are hiring a Full Stack Developer at Stripe (Gurgaon). Experience: 1-3 years. Required skills: react, docker, express, node.js, javascript, leadership. Responsibilities include designing, building and deploying production systems using react, docker, express, node.js. Strong problem solving, communication and ownership expected."
1025,Computer Vision Engineer,Snowflake,Delhi NCR,3-5 years,14 LPA,"computer vision, tensorflow, deep learning, python, cuda, pytorch, opencv, git, leadership, problem solving","We are hiring a Computer Vision Engineer at Snowflake (Delhi NCR). Experience: 3-5 years. Required skills: computer vision, tensorflow, deep learning, python, cuda, pytorch, opencv, git, leadership, problem solving. Responsibilities include designing, building and deploying production systems using computer vision, tensorflow, deep learning, python. Strong problem solving, communication and ownership expected."
1026,Machine Learning Engineer,AMD,Delhi NCR,1-3 years,16 LPA,"kubernetes, python, scikit-learn, tensorflow, sagemaker, aws, airflow, linux","We are hiring a Machine Learning Engineer at AMD (Delhi NCR). Experience: 1-3 years. Required skills: kubernetes, python, scikit-learn, tensorflow, sagemaker, aws, airflow, linux. Responsibilities include designing, building and deploying production systems using kubernetes, python, scikit-learn, tensorflow. Strong problem solving, communication and ownership expected."
1027,BI Developer,Razorpay,Hyderabad,3-5 years,20 LPA,"sql, tableau, snowflake, power bi, looker, etl, excel, bigquery, agile","We are hiring a BI Developer at Razorpay (Hyderabad). Experience: 3-5 years. Required skills: sql, tableau, snowflake, power bi, looker, etl, excel, bigquery, agile. Responsibilities include designing, building and deploying production systems using sql, tableau, snowflake, power bi. Strong problem solving, communication and ownership expected."
1028,Backend Developer,Netflix,Gurgaon,2-4 years,47 LPA,"rest api, postgresql, docker, django, redis, python, flask, fastapi, leadership, problem solving","We are hiring a Backend Developer at Netflix (Gurgaon). Experience: 2-4 years. Required skills: rest api, postgresql, docker, django, redis, python, flask, fastapi, leadership, problem solving. Responsibilities include designing, building and deploying production systems using rest api, postgresql, docker, django. Strong problem solving, communication and ownership expected."
1029,AI Research Engineer,Zomato,"New York, USA",3-5 years,$235K,"huggingface, python, llm, transformers, pytorch, research, deep learning, rag, linux","We are hiring a AI Research Engineer at Zomato (New York, USA). Experience: 3-5 years. Required skills: huggingface, python, llm, transformers, pytorch, research, deep learning, rag, linux. Responsibilities include designing, building and deploying production systems using huggingface, python, llm, transformers. Strong problem solving, communication and ownership expected."
1030,AI Research Engineer,Twilio,Remote,2-4 years,33 LPA,"llm, research, pytorch, transformers, python, linux, git, problem solving","We are hiring a AI Research Engineer at Twilio (Remote). Experience: 2-4 years. Required skills: llm, research, pytorch, transformers, python, linux, git, problem solving. Responsibilities include designing, building and deploying production systems using llm, research, pytorch, transformers. Strong problem solving, communication and ownership expected."
1031,NLP Engineer,Wipro,Singapore,8+ years,$177K,"pytorch, rag, nlp, llm, transformers, huggingface, spacy, bert, nltk, python, problem solving, scrum","We are hiring a NLP Engineer at Wipro (Singapore). Experience: 8+ years. Required skills: pytorch, rag, nlp, llm, transformers, huggingface, spacy, bert, nltk, python, problem solving, scrum. Responsibilities include designing, building and deploying production systems using pytorch, rag, nlp, llm. Strong problem solving, communication and ownership expected."
1032,LLM Engineer,NVIDIA,"New York, USA",3-5 years,$193K,"transformers, pinecone, huggingface, python, rag, fastapi, linux","We are hiring a LLM Engineer at NVIDIA (New York, USA). Experience: 3-5 years. Required skills: transformers, pinecone, huggingface, python, rag, fastapi, linux. Responsibilities include designing, building and deploying production systems using transformers, pinecone, huggingface, python. Strong problem solving, communication and ownership expected."
1033,Computer Vision Engineer,HCL,"San Francisco, USA",1-3 years,$130K,"opencv, deep learning, tensorflow, cuda, pytorch, python, computer vision, leadership, agile, linux","We are hiring a Computer Vision Engineer at HCL (San Francisco, USA). Experience: 1-3 years. Required skills: opencv, deep learning, tensorflow, cuda, pytorch, python, computer vision, leadership, agile, linux. Responsibilities include designing, building and deploying production systems using opencv, deep learning, tensorflow, cuda. Strong problem solving, communication and ownership expected."
1034,Data Engineer,Salesforce,"Berlin, Germany",1-3 years,$117K,"python, airflow, snowflake, spark, dbt, communication, linux","We are hiring a Data Engineer at Salesforce (Berlin, Germany). Experience: 1-3 years. Required skills: python, airflow, snowflake, spark, dbt, communication, linux. Responsibilities include designing, building and deploying production systems using python, airflow, snowflake, spark. Strong problem solving, communication and ownership expected."
1035,Recommendation Systems Engineer,Stripe,"Toronto, Canada",8+ years,$215K,"python, tensorflow, spark, recommendation system, aws, sql, machine learning, communication, agile","We are hiring a Recommendation Systems Engineer at Stripe (Toronto, Canada). Experience: 8+ years. Required skills: python, tensorflow, spark, recommendation system, aws, sql, machine learning, communication, agile. Responsibilities include designing, building and deploying production systems using python, tensorflow, spark, recommendation system. Strong problem solving, communication and ownership expected."
1036,QA Automation Engineer,HCL,Gurgaon,5-8 years,37 LPA,"java, testng, cypress, ci/cd, jira, python, selenium, docker, aws, scrum","We are hiring a QA Automation Engineer at HCL (Gurgaon). Experience: 5-8 years. Required skills: java, testng, cypress, ci/cd, jira, python, selenium, docker, aws, scrum. Responsibilities include designing, building and deploying production systems using java, testng, cypress, ci/cd. Strong problem solving, communication and ownership expected."
1037,Recommendation Systems Engineer,Twilio,Pune,1-3 years,15 LPA,"machine learning, spark, python, tensorflow, sql, leadership, aws","We are hiring a Recommendation Systems Engineer at Twilio (Pune). Experience: 1-3 years. Required skills: machine learning, spark, python, tensorflow, sql, leadership, aws. Responsibilities include designing, building and deploying production systems using machine learning, spark, python, tensorflow. Strong problem solving, communication and ownership expected."
1038,Frontend Developer,CRED,"Berlin, Germany",5-8 years,$85K,"react, css, typescript, javascript, next.js, tailwind, redux, html, git, communication","We are hiring a Frontend Developer at CRED (Berlin, Germany). Experience: 5-8 years. Required skills: react, css, typescript, javascript, next.js, tailwind, redux, html, git, communication. Responsibilities include designing, building and deploying production systems using react, css, typescript, javascript. Strong problem solving, communication and ownership expected."
1039,Product Analyst,Cognizant,Gurgaon,3-5 years,37 LPA,"ab testing, communication, sql, excel, python, tableau, statistics, aws, docker","We are hiring a Product Analyst at Cognizant (Gurgaon). Experience: 3-5 years. Required skills: ab testing, communication, sql, excel, python, tableau, statistics, aws, docker. Responsibilities include designing, building and deploying production systems using ab testing, communication, sql, excel. Strong problem solving, communication and ownership expected."
1040,Data Scientist,Freshworks,Delhi NCR,3-5 years,17 LPA,"sql, deep learning, numpy, statistics, scikit-learn, pandas, python, machine learning, git, agile, leadership","We are hiring a Data Scientist at Freshworks (Delhi NCR). Experience: 3-5 years. Required skills: sql, deep learning, numpy, statistics, scikit-learn, pandas, python, machine learning, git, agile, leadership. Responsibilities include designing, building and deploying production systems using sql, deep learning, numpy, statistics. Strong problem solving, communication and ownership expected."
1041,Machine Learning Engineer,Apple,"Dublin, Ireland",0-1 years,$218K,"aws, kubernetes, mlops, sagemaker, pytorch, airflow, scikit-learn, linux, problem solving","We are hiring a Machine Learning Engineer at Apple (Dublin, Ireland). Experience: 0-1 years. Required skills: aws, kubernetes, mlops, sagemaker, pytorch, airflow, scikit-learn, linux, problem solving. Responsibilities include designing, building and deploying production systems using aws, kubernetes, mlops, sagemaker. Strong problem solving, communication and ownership expected."
1042,Machine Learning Engineer,HCL,Delhi NCR,3-5 years,48 LPA,"mlops, tensorflow, python, aws, sagemaker, airflow, docker, scrum","We are hiring a Machine Learning Engineer at HCL (Delhi NCR). Experience: 3-5 years. Required skills: mlops, tensorflow, python, aws, sagemaker, airflow, docker, scrum. Responsibilities include designing, building and deploying production systems using mlops, tensorflow, python, aws. Strong problem solving, communication and ownership expected."
1043,Data Analyst,SAP,"Berlin, Germany",3-5 years,$130K,"tableau, data visualization, pandas, power bi, statistics, excel, python, sql, etl, agile, git","We are hiring a Data Analyst at SAP (Berlin, Germany). Experience: 3-5 years. Required skills: tableau, data visualization, pandas, power bi, statistics, excel, python, sql, etl, agile, git. Responsibilities include designing, building and deploying production systems using tableau, data visualization, pandas, power bi. Strong problem solving, communication and ownership expected."
1044,NLP Engineer,DeepMind,"London, UK",0-1 years,$209K,"bert, nlp, huggingface, spacy, pytorch, nltk, python, transformers, rag, aws, linux","We are hiring a NLP Engineer at DeepMind (London, UK). Experience: 0-1 years. Required skills: bert, nlp, huggingface, spacy, pytorch, nltk, python, transformers, rag, aws, linux. Responsibilities include designing, building and deploying production systems using bert, nlp, huggingface, spacy. Strong problem solving, communication and ownership expected."
1045,Recommendation Systems Engineer,TCS,Gurgaon,5-8 years,57 LPA,"python, spark, aws, tensorflow, recommendation system, machine learning, docker, scrum, communication","We are hiring a Recommendation Systems Engineer at TCS (Gurgaon). Experience: 5-8 years. Required skills: python, spark, aws, tensorflow, recommendation system, machine learning, docker, scrum, communication. Responsibilities include designing, building and deploying production systems using python, spark, aws, tensorflow. Strong problem solving, communication and ownership expected."
1046,QA Automation Engineer,Zoho,Noida,3-5 years,42 LPA,"testng, jira, cypress, java, python, selenium, problem solving","We are hiring a QA Automation Engineer at Zoho (Noida). Experience: 3-5 years. Required skills: testng, jira, cypress, java, python, selenium, problem solving. Responsibilities include designing, building and deploying production systems using testng, jira, cypress, java. Strong problem solving, communication and ownership expected."
1047,Business Analyst,Intel,Gurgaon,5-8 years,6 LPA,"agile, sql, power bi, tableau, excel, stakeholder management, communication, jira, leadership, problem solving","We are hiring a Business Analyst at Intel (Gurgaon). Experience: 5-8 years. Required skills: agile, sql, power bi, tableau, excel, stakeholder management, communication, jira, leadership, problem solving. Responsibilities include designing, building and deploying production systems using agile, sql, power bi, tableau. Strong problem solving, communication and ownership expected."
1048,AI Research Engineer,Anthropic,"Dublin, Ireland",3-5 years,$84K,"pytorch, rag, huggingface, deep learning, research, transformers, docker","We are hiring a AI Research Engineer at Anthropic (Dublin, Ireland). Experience: 3-5 years. Required skills: pytorch, rag, huggingface, deep learning, research, transformers, docker. Responsibilities include designing, building and deploying production systems using pytorch, rag, huggingface, deep learning. Strong problem solving, communication and ownership expected."
1049,NLP Engineer,Freshworks,"New York, USA",2-4 years,$196K,"bert, spacy, rag, transformers, pytorch, huggingface, llm, aws, leadership","We are hiring a NLP Engineer at Freshworks (New York, USA). Experience: 2-4 years. Required skills: bert, spacy, rag, transformers, pytorch, huggingface, llm, aws, leadership. Responsibilities include designing, building and deploying production systems using bert, spacy, rag, transformers. Strong problem solving, communication and ownership expected."
1050,Full Stack Developer,Adobe,Gurgaon,8+ years,43 LPA,"mongodb, react, javascript, aws, node.js, docker, express, communication","We are hiring a Full Stack Developer at Adobe (Gurgaon). Experience: 8+ years. Required skills: mongodb, react, javascript, aws, node.js, docker, express, communication. Responsibilities include designing, building and deploying production systems using mongodb, react, javascript, aws. Strong problem solving, communication and ownership expected."
1051,Product Analyst,Google,Delhi NCR,2-4 years,8 LPA,"statistics, excel, sql, python, ab testing, communication, tableau, problem solving","We are hiring a Product Analyst at Google (Delhi NCR). Experience: 2-4 years. Required skills: statistics, excel, sql, python, ab testing, communication, tableau, problem solving. Responsibilities include designing, building and deploying production systems using statistics, excel, sql, python. Strong problem solving, communication and ownership expected."
1052,Machine Learning Engineer,Meta,Gurgaon,3-5 years,13 LPA,"docker, pytorch, sagemaker, python, aws, scikit-learn, airflow, tensorflow, mlops, leadership, scrum","We are hiring a Machine Learning Engineer at Meta (Gurgaon). Experience: 3-5 years. Required skills: docker, pytorch, sagemaker, python, aws, scikit-learn, airflow, tensorflow, mlops, leadership, scrum. Responsibilities include designing, building and deploying production systems using docker, pytorch, sagemaker, python. Strong problem solving, communication and ownership expected."
1053,NLP Engineer,Snowflake,Singapore,5-8 years,$232K,"nltk, nlp, python, llm, spacy, huggingface, transformers, rag, agile","We are hiring a NLP Engineer at Snowflake (Singapore). Experience: 5-8 years. Required skills: nltk, nlp, python, llm, spacy, huggingface, transformers, rag, agile. Responsibilities include designing, building and deploying production systems using nltk, nlp, python, llm. Strong problem solving, communication and ownership expected."
1054,Business Analyst,Accenture,Remote,2-4 years,48 LPA,"communication, power bi, stakeholder management, tableau, agile, excel, git, linux","We are hiring a Business Analyst at Accenture (Remote). Experience: 2-4 years. Required skills: communication, power bi, stakeholder management, tableau, agile, excel, git, linux. Responsibilities include designing, building and deploying production systems using communication, power bi, stakeholder management, tableau. Strong problem solving, communication and ownership expected."
1055,NLP Engineer,Amazon,Noida,2-4 years,51 LPA,"bert, transformers, nlp, nltk, python, rag, docker, problem solving","We are hiring a NLP Engineer at Amazon (Noida). Experience: 2-4 years. Required skills: bert, transformers, nlp, nltk, python, rag, docker, problem solving. Responsibilities include designing, building and deploying production systems using bert, transformers, nlp, nltk. Strong problem solving, communication and ownership expected."
1056,DevOps Engineer,Shopify,Pune,0-1 years,16 LPA,"ansible, kubernetes, jenkins, terraform, linux, aws, git, prometheus, docker, ci/cd, scrum, problem solving","We are hiring a DevOps Engineer at Shopify (Pune). Experience: 0-1 years. Required skills: ansible, kubernetes, jenkins, terraform, linux, aws, git, prometheus, docker, ci/cd, scrum, problem solving. Responsibilities include designing, building and deploying production systems using ansible, kubernetes, jenkins, terraform. Strong problem solving, communication and ownership expected."
1057,DevOps Engineer,Freshworks,"New York, USA",5-8 years,$144K,"prometheus, aws, ansible, docker, jenkins, terraform, linux, kubernetes, git, agile","We are hiring a DevOps Engineer at Freshworks (New York, USA). Experience: 5-8 years. Required skills: prometheus, aws, ansible, docker, jenkins, terraform, linux, kubernetes, git, agile. Responsibilities include designing, building and deploying production systems using prometheus, aws, ansible, docker. Strong problem solving, communication and ownership expected."
1058,Data Scientist,Atlassian,"Toronto, Canada",2-4 years,$126K,"scikit-learn, python, machine learning, nlp, statistics, docker","We are hiring a Data Scientist at Atlassian (Toronto, Canada). Experience: 2-4 years. Required skills: scikit-learn, python, machine learning, nlp, statistics, docker. Responsibilities include designing, building and deploying production systems using scikit-learn, python, machine learning, nlp. Strong problem solving, communication and ownership expected."
1059,Security Engineer,Infosys,"New York, USA",3-5 years,$206K,"docker, penetration testing, linux, python, networking, aws, leadership, agile","We are hiring a Security Engineer at Infosys (New York, USA). Experience: 3-5 years. Required skills: docker, penetration testing, linux, python, networking, aws, leadership, agile. Responsibilities include designing, building and deploying production systems using docker, penetration testing, linux, python. Strong problem solving, communication and ownership expected."
1060,DevOps Engineer,Meta,Remote,5-8 years,29 LPA,"ci/cd, git, docker, jenkins, ansible, terraform, aws, kubernetes, linux, prometheus, communication","We are hiring a DevOps Engineer at Meta (Remote). Experience: 5-8 years. Required skills: ci/cd, git, docker, jenkins, ansible, terraform, aws, kubernetes, linux, prometheus, communication. Responsibilities include designing, building and deploying production systems using ci/cd, git, docker, jenkins. Strong problem solving, communication and ownership expected."
1061,Business Analyst,Microsoft,Noida,8+ years,16 LPA,"stakeholder management, communication, sql, excel, tableau, power bi, agile, jira, docker","We are hiring a Business Analyst at Microsoft (Noida). Experience: 8+ years. Required skills: stakeholder management, communication, sql, excel, tableau, power bi, agile, jira, docker. Responsibilities include designing, building and deploying production systems using stakeholder management, communication, sql, excel. Strong problem solving, communication and ownership expected."
1062,DevOps Engineer,CRED,"Dublin, Ireland",3-5 years,$142K,"docker, git, ci/cd, prometheus, kubernetes, ansible, jenkins, aws, terraform, problem solving","We are hiring a DevOps Engineer at CRED (Dublin, Ireland). Experience: 3-5 years. Required skills: docker, git, ci/cd, prometheus, kubernetes, ansible, jenkins, aws, terraform, problem solving. Responsibilities include designing, building and deploying production systems using docker, git, ci/cd, prometheus. Strong problem solving, communication and ownership expected."
1063,Computer Vision Engineer,Google,"San Francisco, USA",8+ years,$156K,"opencv, tensorflow, cuda, deep learning, python, computer vision, pytorch, aws, problem solving","We are hiring a Computer Vision Engineer at Google (San Francisco, USA). Experience: 8+ years. Required skills: opencv, tensorflow, cuda, deep learning, python, computer vision, pytorch, aws, problem solving. Responsibilities include designing, building and deploying production systems using opencv, tensorflow, cuda, deep learning. Strong problem solving, communication and ownership expected."
1064,Security Engineer,Hugging Face,Noida,5-8 years,30 LPA,"python, penetration testing, aws, docker, networking, linux, leadership, communication","We are hiring a Security Engineer at Hugging Face (Noida). Experience: 5-8 years. Required skills: python, penetration testing, aws, docker, networking, linux, leadership, communication. Responsibilities include designing, building and deploying production systems using python, penetration testing, aws, docker. Strong problem solving, communication and ownership expected."
1065,Frontend Developer,ServiceNow,"New York, USA",0-1 years,$192K,"javascript, react, css, next.js, html, typescript, redux, tailwind, scrum","We are hiring a Frontend Developer at ServiceNow (New York, USA). Experience: 0-1 years. Required skills: javascript, react, css, next.js, html, typescript, redux, tailwind, scrum. Responsibilities include designing, building and deploying production systems using javascript, react, css, next.js. Strong problem solving, communication and ownership expected."
1066,Data Analyst,Swiggy,"Berlin, Germany",2-4 years,$240K,"data visualization, sql, pandas, excel, tableau, statistics, etl, python, power bi, linux, agile","We are hiring a Data Analyst at Swiggy (Berlin, Germany). Experience: 2-4 years. Required skills: data visualization, sql, pandas, excel, tableau, statistics, etl, python, power bi, linux, agile. Responsibilities include designing, building and deploying production systems using data visualization, sql, pandas, excel. Strong problem solving, communication and ownership expected."
1067,Database Administrator,Freshworks,Mumbai,8+ years,51 LPA,"linux, sql, postgresql, backup, mongodb, mysql, agile","We are hiring a Database Administrator at Freshworks (Mumbai). Experience: 8+ years. Required skills: linux, sql, postgresql, backup, mongodb, mysql, agile. Responsibilities include designing, building and deploying production systems using linux, sql, postgresql, backup. Strong problem solving, communication and ownership expected."
1068,Data Analyst,HCL,Singapore,5-8 years,$126K,"power bi, python, sql, statistics, etl, pandas, excel, data visualization, linux, scrum","We are hiring a Data Analyst at HCL (Singapore). Experience: 5-8 years. Required skills: power bi, python, sql, statistics, etl, pandas, excel, data visualization, linux, scrum. Responsibilities include designing, building and deploying production systems using power bi, python, sql, statistics. Strong problem solving, communication and ownership expected."
1069,BI Developer,OpenAI,Gurgaon,3-5 years,22 LPA,"tableau, etl, looker, bigquery, excel, snowflake, scrum, communication, docker","We are hiring a BI Developer at OpenAI (Gurgaon). Experience: 3-5 years. Required skills: tableau, etl, looker, bigquery, excel, snowflake, scrum, communication, docker. Responsibilities include designing, building and deploying production systems using tableau, etl, looker, bigquery. Strong problem solving, communication and ownership expected."
1070,LLM Engineer,Zomato,"San Francisco, USA",8+ years,$188K,"fastapi, transformers, openai, huggingface, llm, docker","We are hiring a LLM Engineer at Zomato (San Francisco, USA). Experience: 8+ years. Required skills: fastapi, transformers, openai, huggingface, llm, docker. Responsibilities include designing, building and deploying production systems using fastapi, transformers, openai, huggingface. Strong problem solving, communication and ownership expected."
1071,Database Administrator,Databricks,"London, UK",5-8 years,$155K,"mongodb, oracle, mysql, linux, sql, postgresql","We are hiring a Database Administrator at Databricks (London, UK). Experience: 5-8 years. Required skills: mongodb, oracle, mysql, linux, sql, postgresql. Responsibilities include designing, building and deploying production systems using mongodb, oracle, mysql, linux. Strong problem solving, communication and ownership expected."
